nco2015_3d,isco_label,n_soc_total,us_emp,AIOE_uw,AIOE_w,n_soc_AIOE,gpt_beta_human_uw,gpt_beta_human_w,n_soc_gpt_beta_human,gpt_beta_model_uw,gpt_beta_model_w,n_soc_gpt_beta_model,z_AIOE_w,z_AIOE_uw,z_gpt_beta_human_w,z_gpt_beta_human_uw,z_gpt_beta_model_w,z_gpt_beta_model_uw
011,Commissioned armed forces officers,8.0000,0.0000,,,0.0000,,,0.0000,,,0.0000,,,,,,
021,Non-commissioned armed forces officers,3.0000,0.0000,,,0.0000,,,0.0000,,,0.0000,,,,,,
031,"Armed forces occupations, other ranks",9.0000,36800.0000,,,0.0000,0.2602,0.2602,1.0000,0.2688,0.2688,1.0000,,,-0.0689,-0.0683,-0.2546,-0.2435
111,Legislators and senior officials,6.0000,4140058.3333,1.0397,0.7055,5.0000,0.4673,0.3910,6.0000,0.4694,0.4764,6.0000,0.8689,1.2164,0.6652,1.0765,0.7896,0.7671
112,Managing directors and chief executives,2.0000,3185400.0000,0.9546,0.6227,2.0000,0.3770,0.3837,2.0000,0.4943,0.4825,2.0000,0.7778,1.1218,0.6238,0.5777,0.8203,0.8925
121,Business services and administration managers,10.0000,2168513.3333,1.0966,1.1453,10.0000,0.4687,0.4361,10.0000,0.4918,0.4661,10.0000,1.3525,1.2797,0.9179,1.0841,0.7382,0.8799
122,"Sales, marketing and development managers",6.0000,1099910.0000,1.2224,1.2124,6.0000,0.4938,0.4870,6.0000,0.4927,0.4755,6.0000,1.4264,1.4196,1.2033,1.2231,0.7850,0.8847
131,"Production managers in agriculture, forestry and fisheries",1.0000,5220.0000,-0.1444,-0.1444,1.0000,0.2449,0.2449,1.0000,0.3673,0.3673,1.0000,-0.0657,-0.0999,-0.1545,-0.1526,0.2412,0.2531
132,"Manufacturing, mining, construction, and distribution managers",4.0000,1438368.3333,0.8483,0.9091,4.0000,0.3995,0.3954,4.0000,0.4465,0.4463,4.0000,1.0927,1.0037,0.6894,0.7020,0.6381,0.6518
133,Information and communications technology service managers,1.0000,485190.0000,1.0599,1.0599,1.0000,0.5606,0.5606,1.0000,0.5303,0.5303,1.0000,1.2586,1.2389,1.6161,1.5923,1.0609,1.0740
134,Professional services managers,9.0000,5615418.3333,1.0116,0.8551,9.0000,0.4248,0.4020,9.0000,0.4461,0.4656,9.0000,1.0335,1.1852,0.7268,0.8417,0.7354,0.6497
141,Hotel and restaurant managers,2.0000,246600.0000,0.1404,-0.0451,2.0000,0.3881,0.3936,2.0000,0.4366,0.4225,2.0000,0.0435,0.2168,0.6794,0.6391,0.5185,0.6019
142,Retail and wholesale trade managers,1.0000,2984920.0000,0.5749,0.5749,1.0000,0.3846,0.3846,1.0000,0.4808,0.4808,1.0000,0.7253,0.6997,0.6291,0.6196,0.8117,0.8245
143,Other services managers,2.0000,820368.3333,0.8973,0.9641,2.0000,0.4404,0.3959,2.0000,0.5114,0.4499,2.0000,1.1533,1.0582,0.6923,0.9279,0.6562,0.9789
211,Physical and earth science professionals,8.0000,167450.0000,1.0153,0.7883,8.0000,0.5049,0.4652,8.0000,0.5048,0.4642,8.0000,0.9600,1.1893,1.0808,1.2842,0.7285,0.9457
212,"Mathematicians, actuaries and statisticians",5.0000,163730.0000,1.4396,1.4153,5.0000,0.6851,0.6468,5.0000,0.6958,0.6330,5.0000,1.6494,1.6610,2.0995,2.2805,1.5774,1.9076
213,Life science professionals,14.0000,385660.0000,0.7594,0.9308,13.0000,0.5335,0.5483,13.0000,0.4525,0.4882,13.0000,1.1166,0.9049,1.5470,1.4423,0.8490,0.6822
214,Engineering professionals (excluding electrotechnology),16.0000,1270840.0000,1.1047,1.1156,16.0000,0.4605,0.4819,16.0000,0.5094,0.5235,16.0000,1.3199,1.2887,1.1748,1.0392,1.0267,0.9685
215,Electrotechnology engineers,3.0000,366940.0000,0.9780,0.9950,3.0000,0.3908,0.4007,3.0000,0.6366,0.6124,3.0000,1.1873,1.1479,0.7193,0.6536,1.4740,1.6097
216,"Architects, planners, surveyors and designers",10.0000,487490.0000,0.7934,0.7875,9.0000,0.4369,0.4303,9.0000,0.4775,0.4892,9.0000,0.9591,0.9427,0.8853,0.9089,0.8540,0.8082
221,Medical doctors,8.0000,699660.0000,0.7073,0.7403,8.0000,0.3507,0.3479,8.0000,0.4093,0.4222,8.0000,0.9072,0.8469,0.4232,0.4322,0.5170,0.4647
222,Nursing and midwifery professionals,4.0000,3333920.0000,0.2144,0.2267,4.0000,0.2669,0.3307,4.0000,0.3546,0.3845,4.0000,0.3424,0.2989,0.3267,-0.0311,0.3276,0.1891
223,Traditional and complementary medicine professionals,1.0000,33500.0000,0.7110,0.7110,1.0000,0.3106,0.3106,1.0000,0.3315,0.3315,1.0000,0.8749,0.8510,0.2142,0.2107,0.0611,0.0726
224,Paramedical practitioners,1.0000,132940.0000,0.1059,0.1059,1.0000,0.1101,0.1101,1.0000,0.2708,0.2708,1.0000,0.2095,0.1784,-0.9104,-0.8975,-0.2442,-0.2332
225,Veterinarians,1.0000,77260.0000,-0.0750,-0.0750,1.0000,0.2297,0.2297,1.0000,0.2703,0.2703,1.0000,0.0106,-0.0227,-0.2396,-0.2364,-0.2471,-0.2360
